Track,Group
Rockstar - 2020 Remaster,All The Right Reasons (15th Anniversary Expanded Edition)
Du hast,Sehnsucht (Anniversary Edition - Remastered)
The Dirt I'm Buried In,Dance Devil Dance
Remember We Die,Memento Mori
Crazy Train,Blizzard Of Ozz (40th Anniversary Expanded Edition)
Symphony Of Destruction,Greatest Hits: Back To The Start
Du hast,Sehnsucht
Buried Alive,Nightmare
End Of Me,7th Symphony
How You Remind Me,Silver Side Up
Dream On,Aerosmith
I Love Rock 'N Roll,I Love Rock 'N' Roll (Expanded Edition)
How You Remind Me,"The Best of Nickelback, Vol. 1"
Mein Herz brennt,Mutter
Paranoid,Hidden Treasures
Smoke on the Water,Deepest Purple: The Very Best of Deep Purple
To Hell and Back,Heroes
Porn Star Dancing,My Darkest Days
Paralyzer,Them Vs. You Vs. Me (Deluxe Edition)
If I Were,Nothing More
Sick And Twisted Affair,Sick And Twisted Affair (Deluxe Edition)
Down,The End Is Where We Begin
Learn To Walk Again,N.A.T.I.O.N.
The End Is Where We Begin,The End Is Where We Begin
Still Worth Fighting For,My Darkest Days (Deluxe Edition)
Let the Sparks Fly,The End Is Where We Begin
10 Seconds from Panic,The Inception
Not Strong Enough,7th Symphony
End of Me,What I've Become
Die MF Die,Life
Chalk Outline,Transit Of Venus
Hush,Blood For Blood
If Tomorrow Never Comes,Dear Monsters
Down with the Sickness,The Sickness
I'm Not Jesus - International Version,Worlds Collide
Full Circle,F8
Remember When,Disobey
Let 'em Burn,The Stories We Tell Ourselves
This Is The Time (Ballast),Nothing More
Sham Pain,And Justice for None (Deluxe)
Move Your Body,My Darkest Days
Jenny,Nothing More
Like Suicide,Finding Beauty In Negative Spaces (Bonus Track Version)
World so Cold,Life Starts Now
Breaking Through,Breaking Through - Single
Citizen/Soldier,3 Doors Down
Words As Weapons,Isolate And Medicate (Deluxe Edition)
Fly On the Wall,The End Is Where We Begin
I Don't Wanna Be Me,Life Is Killing Me
The Kids Aren't Alright,Americana
Ванилла-Бум,Решай На Чьей Ты Стороне
Touch and Go,The Way Forward
